name,experienced,started,session_1,session_2,session_3,session_4,session_5,session_6
Phoebe,Yes,03-Jun-2022,Target hit 45 times from 48 shots.,Target hit 46 times from 48 shots.,Target hit 60 times from 63 shots.,Target hit 67 times from 73 shots.,Target hit 62 times from 69 shots.,Target hit 51 times from 58 shots.
Ellie,Yes,25-May-2023,Target hit 54 times from 67 shots.,Target hit 53 times from 63 shots.,Target hit 60 times from 65 shots.,Target hit 43 times from 51 shots.,Target hit 52 times from 57 shots.,Target hit 42 times from 52 shots.
Ariana,No,01-Feb-2024,Target hit 25 times from 40 shots.,Target hit 30 times from 57 shots.,Target hit 39 times from 51 shots.,Target hit 27 times from 49 shots.,Target hit 21 times from 34 shots.,Target hit 33 times from 49 shots.
Sophia,Yes,20-Apr-2022,Target hit 43 times from 51 shots.,Target hit 42 times from 46 shots.,Target hit 52 times from 56 shots.,Target hit 54 times from 58 shots.,Target hit 42 times from 45 shots.,Target hit 52 times from 58 shots.
Maeve,Yes,20-Jun-2023,Target hit 45 times from 58 shots.,Target hit 35 times from 46 shots.,Target hit 44 times from 55 shots.,Target hit 49 times from 62 shots.,Target hit 51 times from 66 shots.,Target hit 59 times from 69 shots.
Eleanor,Yes,05-Dec-2021,Target hit 52 times from 53 shots.,Target hit 54 times from 59 shots.,Target hit 68 times from 70 shots.,Target hit 66 times from 70 shots.,Target hit 58 times from 63 shots.,Target hit 66 times from 68 shots.
Elias,Yes,02-Apr-2023,Target hit 54 times from 72 shots.,Target hit 35 times from 50 shots.,Target hit 51 times from 60 shots.,Target hit 53 times from 62 shots.,Target hit 40 times from 50 shots.,Target hit 59 times from 68 shots.
Leo,No,01-Feb-2024,Target hit 19 times from 39 shots.,Target hit 22 times from 44 shots.,Target hit 24 times from 31 shots.,Target hit 27 times from 47 shots.,Target hit 30 times from 52 shots.,Target hit 20 times from 42 shots.
Charlie,Yes,19-Apr-2023,Target hit 48 times from 67 shots.,Target hit 61 times from 77 shots.,Target hit 49 times from 58 shots.,Target hit 48 times from 59 shots.,Target hit 57 times from 70 shots.,Target hit 53 times from 62 shots.
Poppy,No,01-Feb-2024,Target hit 23 times from 44 shots.,Target hit 20 times from 40 shots.,Target hit 27 times from 53 shots.,Target hit 28 times from 47 shots.,Target hit 27 times from 60 shots.,Target hit 23 times from 44 shots.
Theodore,No,01-Feb-2024,Target hit 22 times from 49 shots.,Target hit 18 times from 42 shots.,Target hit 22 times from 45 shots.,Target hit 24 times from 40 shots.,Target hit 23 times from 41 shots.,Target hit 24 times from 38 shots.
Jude,Yes,12-Apr-2022,Target hit 65 times from 71 shots.,Target hit 55 times from 61 shots.,Target hit 51 times from 58 shots.,Target hit 67 times from 74 shots.,Target hit 74 times from 82 shots.,Target hit 62 times from 64 shots.
Sienna,No,01-Feb-2024,Target hit 18 times from 39 shots.,Target hit 21 times from 40 shots.,Target hit 17 times from 30 shots.,Target hit 33 times from 48 shots.,Target hit 25 times from 41 shots.,Target hit 24 times from 44 shots.
Isaac,No,01-Feb-2024,Target hit 25 times from 48 shots.,Target hit 25 times from 50 shots.,Target hit 32 times from 45 shots.,Target hit 28 times from 49 shots.,Target hit 24 times from 45 shots.,Target hit 22 times from 38 shots.
Nicholas,No,01-Feb-2024,Target hit 18 times from 47 shots.,Target hit 25 times from 45 shots.,Target hit 24 times from 39 shots.,Target hit 22 times from 41 shots.,Target hit 25 times from 46 shots.,Target hit 21 times from 37 shots.
Riley,No,01-Feb-2024,Target hit 22 times from 42 shots.,Target hit 27 times from 43 shots.,Target hit 15 times from 37 shots.,Target hit 17 times from 28 shots.,Target hit 14 times from 25 shots.,Target hit 34 times from 53 shots.
Joseph,No,01-Feb-2024,Target hit 16 times from 43 shots.,Target hit 23 times from 33 shots.,Target hit 18 times from 29 shots.,Target hit 29 times from 40 shots.,Target hit 31 times from 48 shots.,Target hit 30 times from 54 shots.
Mason,Yes,26-Dec-2021,Target hit 54 times from 62 shots.,Target hit 48 times from 52 shots.,Target hit 62 times from 67 shots.,Target hit 48 times from 50 shots.,Target hit 35 times from 39 shots.,Target hit 67 times from 70 shots.
Julian,No,01-Feb-2024,Target hit 24 times from 43 shots.,Target hit 32 times from 57 shots.,Target hit 24 times from 47 shots.,Target hit 20 times from 44 shots.,Target hit 21 times from 43 shots.,Target hit 23 times from 40 shots.
Adam,Yes,05-Aug-2021,Target hit 40 times from 44 shots.,Target hit 54 times from 54 shots.,Target hit 64 times from 66 shots.,Target hit 60 times from 67 shots.,Target hit 51 times from 55 shots.,Target hit 57 times from 59 shots.
Arlo,No,01-Feb-2024,Target hit 28 times from 41 shots.,Target hit 30 times from 46 shots.,Target hit 18 times from 42 shots.,Target hit 20 times from 36 shots.,Target hit 17 times from 38 shots.,Target hit 26 times from 40 shots.
Lola,No,01-Feb-2024,Target hit 26 times from 48 shots.,Target hit 19 times from 33 shots.,Target hit 31 times from 54 shots.,Target hit 29 times from 48 shots.,Target hit 28 times from 46 shots.,Target hit 28 times from 50 shots.
Bella,Yes,09-Oct-2021,Target hit 62 times from 64 shots.,Target hit 54 times from 60 shots.,Target hit 65 times from 71 shots.,Target hit 45 times from 47 shots.,Target hit 47 times from 51 shots.,Target hit 44 times from 51 shots.
Rosie,No,01-Feb-2024,Target hit 14 times from 34 shots.,Target hit 20 times from 43 shots.,Target hit 15 times from 31 shots.,Target hit 20 times from 41 shots.,Target hit 30 times from 49 shots.,Target hit 16 times from 29 shots.
Lucas,Yes,03-Jun-2022,Target hit 49 times from 54 shots.,Target hit 48 times from 51 shots.,Target hit 48 times from 52 shots.,Target hit 53 times from 58 shots.,Target hit 52 times from 56 shots.,Target hit 49 times from 53 shots.
Lara,No,01-Feb-2024,Target hit 24 times from 46 shots.,Target hit 20 times from 36 shots.,Target hit 29 times from 54 shots.,Target hit 26 times from 51 shots.,Target hit 23 times from 45 shots.,Target hit 22 times from 42 shots.
Thea,Yes,21-Jan-2022,Target hit 54 times from 61 shots.,Target hit 48 times from 51 shots.,Target hit 67 times from 73 shots.,Target hit 57 times from 57 shots.,Target hit 55 times from 58 shots.,Target hit 49 times from 51 shots.
Austin,Yes,09-Feb-2022,Target hit 61 times from 68 shots.,Target hit 61 times from 69 shots.,Target hit 64 times from 69 shots.,Target hit 52 times from 56 shots.,Target hit 61 times from 66 shots.,Target hit 46 times from 49 shots.
Felix,Yes,03-Mar-2022,Target hit 58 times from 63 shots.,Target hit 66 times from 71 shots.,Target hit 47 times from 50 shots.,Target hit 50 times from 53 shots.,Target hit 44 times from 45 shots.,Target hit 64 times from 66 shots.
Gabriella,No,01-Feb-2024,Target hit 19 times from 57 shots.,Target hit 29 times from 50 shots.,Target hit 17 times from 45 shots.,Target hit 24 times from 55 shots.,Target hit 25 times from 53 shots.,Target hit 27 times from 44 shots.
River,No,01-Feb-2024,Target hit 19 times from 37 shots.,Target hit 22 times from 40 shots.,Target hit 16 times from 33 shots.,Target hit 15 times from 27 shots.,Target hit 23 times from 41 shots.,Target hit 24 times from 38 shots.
Riley,No,01-Feb-2024,Target hit 22 times from 43 shots.,Target hit 22 times from 43 shots.,Target hit 20 times from 38 shots.,Target hit 28 times from 38 shots.,Target hit 31 times from 54 shots.,Target hit 27 times from 51 shots.
Henry,Yes,18-Mar-2023,Target hit 49 times from 58 shots.,Target hit 41 times from 49 shots.,Target hit 56 times from 69 shots.,Target hit 48 times from 51 shots.,Target hit 38 times from 44 shots.,Target hit 57 times from 70 shots.
Emily,Yes,02-Sep-2022,Target hit 49 times from 54 shots.,Target hit 60 times from 65 shots.,Target hit 63 times from 72 shots.,Target hit 44 times from 49 shots.,Target hit 54 times from 60 shots.,Target hit 43 times from 47 shots.
Jasmine,Yes,26-Dec-2021,Target hit 74 times from 75 shots.,Target hit 53 times from 57 shots.,Target hit 50 times from 53 shots.,Target hit 65 times from 66 shots.,Target hit 59 times from 64 shots.,Target hit 65 times from 69 shots.
Anastasia,Yes,06-Dec-2022,Target hit 68 times from 74 shots.,Target hit 52 times from 61 shots.,Target hit 62 times from 70 shots.,Target hit 60 times from 61 shots.,Target hit 65 times from 73 shots.,Target hit 50 times from 58 shots.
Benjamin,No,01-Feb-2024,Target hit 23 times from 54 shots.,Target hit 25 times from 46 shots.,Target hit 10 times from 23 shots.,Target hit 21 times from 41 shots.,Target hit 27 times from 42 shots.,Target hit 29 times from 43 shots.
Sophie,Yes,10-Oct-2022,Target hit 60 times from 65 shots.,Target hit 42 times from 47 shots.,Target hit 39 times from 51 shots.,Target hit 56 times from 63 shots.,Target hit 64 times from 68 shots.,Target hit 65 times from 70 shots.
Jacob,No,01-Feb-2024,Target hit 23 times from 39 shots.,Target hit 19 times from 34 shots.,Target hit 27 times from 50 shots.,Target hit 25 times from 44 shots.,Target hit 25 times from 48 shots.,Target hit 18 times from 41 shots.
Maya,Yes,15-Jul-2022,Target hit 60 times from 63 shots.,Target hit 66 times from 75 shots.,Target hit 53 times from 55 shots.,Target hit 65 times from 71 shots.,Target hit 54 times from 59 shots.,Target hit 70 times from 73 shots.
Lachlan,Yes,10-Sep-2022,Target hit 55 times from 64 shots.,Target hit 50 times from 55 shots.,Target hit 39 times from 48 shots.,Target hit 62 times from 67 shots.,Target hit 48 times from 55 shots.,Target hit 59 times from 67 shots.
Daniel,Yes,16-Apr-2022,Target hit 61 times from 69 shots.,Target hit 62 times from 66 shots.,Target hit 57 times from 64 shots.,Target hit 58 times from 61 shots.,Target hit 61 times from 66 shots.,Target hit 60 times from 66 shots.
Archer,No,01-Feb-2024,Target hit 17 times from 43 shots.,Target hit 27 times from 43 shots.,Target hit 22 times from 44 shots.,Target hit 23 times from 38 shots.,Target hit 24 times from 44 shots.,Target hit 32 times from 49 shots.
Piper,No,01-Feb-2024,Target hit 29 times from 50 shots.,Target hit 20 times from 42 shots.,Target hit 23 times from 46 shots.,Target hit 21 times from 46 shots.,Target hit 18 times from 41 shots.,Target hit 29 times from 40 shots.
Roman,No,01-Feb-2024,Target hit 25 times from 45 shots.,Target hit 13 times from 28 shots.,Target hit 21 times from 32 shots.,Target hit 20 times from 39 shots.,Target hit 25 times from 42 shots.,Target hit 23 times from 40 shots.
Elizabeth,No,01-Feb-2024,Target hit 21 times from 45 shots.,Target hit 32 times from 58 shots.,Target hit 23 times from 41 shots.,Target hit 22 times from 50 shots.,Target hit 12 times from 34 shots.,Target hit 35 times from 57 shots.
Penelope,No,01-Feb-2024,Target hit 21 times from 49 shots.,Target hit 33 times from 54 shots.,Target hit 29 times from 43 shots.,Target hit 30 times from 50 shots.,Target hit 30 times from 57 shots.,Target hit 27 times from 47 shots.
Hamish,No,01-Feb-2024,Target hit 31 times from 42 shots.,Target hit 17 times from 45 shots.,Target hit 32 times from 50 shots.,Target hit 29 times from 52 shots.,Target hit 26 times from 41 shots.,Target hit 30 times from 42 shots.
Archie,No,01-Feb-2024,Target hit 13 times from 32 shots.,Target hit 20 times from 41 shots.,Target hit 20 times from 35 shots.,Target hit 21 times from 37 shots.,Target hit 25 times from 40 shots.,Target hit 25 times from 37 shots.
Matthew,No,01-Feb-2024,Target hit 25 times from 49 shots.,Target hit 29 times from 49 shots.,Target hit 28 times from 42 shots.,Target hit 27 times from 39 shots.,Target hit 20 times from 45 shots.,Target hit 27 times from 54 shots.
Luka,Yes,28-Feb-2022,Target hit 51 times from 55 shots.,Target hit 50 times from 54 shots.,Target hit 60 times from 63 shots.,Target hit 45 times from 51 shots.,Target hit 59 times from 64 shots.,Target hit 63 times from 64 shots.
Samuel,Yes,24-May-2023,Target hit 48 times from 60 shots.,Target hit 46 times from 59 shots.,Target hit 39 times from 51 shots.,Target hit 41 times from 49 shots.,Target hit 50 times from 73 shots.,Target hit 49 times from 64 shots.
Scarlett,No,01-Feb-2024,Target hit 28 times from 55 shots.,Target hit 28 times from 42 shots.,Target hit 32 times from 47 shots.,Target hit 30 times from 47 shots.,Target hit 28 times from 50 shots.,Target hit 25 times from 53 shots.
Frankie,No,01-Feb-2024,Target hit 27 times from 46 shots.,Target hit 31 times from 44 shots.,Target hit 19 times from 31 shots.,Target hit 14 times from 27 shots.,Target hit 21 times from 37 shots.,Target hit 24 times from 39 shots.
Evelyn,No,01-Feb-2024,Target hit 17 times from 36 shots.,Target hit 20 times from 39 shots.,Target hit 27 times from 47 shots.,Target hit 25 times from 38 shots.,Target hit 13 times from 22 shots.,Target hit 33 times from 58 shots.
Ali,No,01-Feb-2024,Target hit 23 times from 51 shots.,Target hit 23 times from 39 shots.,Target hit 33 times from 49 shots.,Target hit 24 times from 39 shots.,Target hit 20 times from 36 shots.,Target hit 24 times from 43 shots.
Angus,No,01-Feb-2024,Target hit 12 times from 33 shots.,Target hit 20 times from 39 shots.,Target hit 11 times from 27 shots.,Target hit 24 times from 44 shots.,Target hit 26 times from 37 shots.,Target hit 26 times from 39 shots.
Olive,Yes,16-Feb-2023,Target hit 63 times from 77 shots.,Target hit 65 times from 75 shots.,Target hit 63 times from 78 shots.,Target hit 42 times from 51 shots.,Target hit 57 times from 65 shots.,Target hit 57 times from 71 shots.
Remy,No,01-Feb-2024,Target hit 23 times from 47 shots.,Target hit 16 times from 42 shots.,Target hit 42 times from 66 shots.,Target hit 23 times from 47 shots.,Target hit 23 times from 37 shots.,Target hit 26 times from 43 shots.
Ella,Yes,10-Dec-2022,Target hit 62 times from 71 shots.,Target hit 69 times from 78 shots.,Target hit 51 times from 61 shots.,Target hit 54 times from 60 shots.,Target hit 59 times from 67 shots.,Target hit 56 times from 62 shots.
William,Yes,05-Feb-2022,Target hit 42 times from 47 shots.,Target hit 62 times from 66 shots.,Target hit 54 times from 57 shots.,Target hit 56 times from 59 shots.,Target hit 45 times from 47 shots.,Target hit 71 times from 78 shots.
Leon,No,01-Feb-2024,Target hit 25 times from 45 shots.,Target hit 21 times from 41 shots.,Target hit 17 times from 33 shots.,Target hit 27 times from 46 shots.,Target hit 24 times from 48 shots.,Target hit 33 times from 49 shots.
Ethan,No,01-Feb-2024,Target hit 26 times from 49 shots.,Target hit 25 times from 46 shots.,Target hit 21 times from 34 shots.,Target hit 27 times from 45 shots.,Target hit 30 times from 50 shots.,Target hit 19 times from 40 shots.
Gabriel,No,01-Feb-2024,Target hit 25 times from 52 shots.,Target hit 20 times from 44 shots.,Target hit 18 times from 39 shots.,Target hit 17 times from 46 shots.,Target hit 27 times from 46 shots.,Target hit 31 times from 50 shots.
Alexander,Yes,23-Jan-2022,Target hit 51 times from 53 shots.,Target hit 57 times from 63 shots.,Target hit 52 times from 56 shots.,Target hit 51 times from 57 shots.,Target hit 72 times from 79 shots.,Target hit 55 times from 61 shots.
Joshua,No,01-Feb-2024,Target hit 26 times from 39 shots.,Target hit 18 times from 31 shots.,Target hit 17 times from 32 shots.,Target hit 26 times from 48 shots.,Target hit 23 times from 43 shots.,Target hit 28 times from 52 shots.
Millie,Yes,17-Feb-2023,Target hit 69 times from 84 shots.,Target hit 59 times from 68 shots.,Target hit 56 times from 61 shots.,Target hit 48 times from 54 shots.,Target hit 58 times from 64 shots.,Target hit 49 times from 58 shots.
Pippa,Yes,13-May-2023,Target hit 51 times from 62 shots.,Target hit 52 times from 59 shots.,Target hit 58 times from 67 shots.,Target hit 54 times from 65 shots.,Target hit 52 times from 71 shots.,Target hit 51 times from 61 shots.
Emilia,Yes,24-Sep-2022,Target hit 58 times from 66 shots.,Target hit 58 times from 62 shots.,Target hit 65 times from 71 shots.,Target hit 57 times from 61 shots.,Target hit 64 times from 69 shots.,Target hit 60 times from 68 shots.
Nora,No,01-Feb-2024,Target hit 20 times from 36 shots.,Target hit 23 times from 42 shots.,Target hit 32 times from 53 shots.,Target hit 28 times from 48 shots.,Target hit 39 times from 67 shots.,Target hit 16 times from 41 shots.
Muhammad,No,01-Feb-2024,Target hit 26 times from 51 shots.,Target hit 27 times from 47 shots.,Target hit 32 times from 50 shots.,Target hit 27 times from 48 shots.,Target hit 32 times from 50 shots.,Target hit 24 times from 42 shots.
Kai,No,01-Feb-2024,Target hit 14 times from 40 shots.,Target hit 24 times from 44 shots.,Target hit 22 times from 46 shots.,Target hit 24 times from 40 shots.,Target hit 21 times from 34 shots.,Target hit 24 times from 50 shots.
Amelia,No,01-Feb-2024,Target hit 31 times from 60 shots.,Target hit 26 times from 49 shots.,Target hit 34 times from 52 shots.,Target hit 19 times from 34 shots.,Target hit 30 times from 49 shots.,Target hit 25 times from 51 shots.
Bonnie,Yes,05-Apr-2022,Target hit 54 times from 58 shots.,Target hit 44 times from 48 shots.,Target hit 53 times from 59 shots.,Target hit 49 times from 52 shots.,Target hit 62 times from 66 shots.,Target hit 54 times from 58 shots.
Ryan,Yes,26-Dec-2022,Target hit 49 times from 60 shots.,Target hit 58 times from 63 shots.,Target hit 35 times from 43 shots.,Target hit 58 times from 62 shots.,Target hit 51 times from 56 shots.,Target hit 58 times from 67 shots.
Bodhi,Yes,16-Sep-2021,Target hit 68 times from 72 shots.,Target hit 63 times from 68 shots.,Target hit 72 times from 73 shots.,Target hit 52 times from 56 shots.,Target hit 64 times from 71 shots.,Target hit 52 times from 57 shots.
Vincent,No,01-Feb-2024,Target hit 24 times from 48 shots.,Target hit 24 times from 39 shots.,Target hit 25 times from 38 shots.,Target hit 25 times from 47 shots.,Target hit 27 times from 46 shots.,Target hit 25 times from 39 shots.
Zayn,No,01-Feb-2024,Target hit 19 times from 38 shots.,Target hit 23 times from 42 shots.,Target hit 11 times from 33 shots.,Target hit 19 times from 36 shots.,Target hit 25 times from 40 shots.,Target hit 28 times from 40 shots.
Eliana,Yes,06-Jul-2023,Target hit 38 times from 51 shots.,Target hit 52 times from 66 shots.,Target hit 58 times from 69 shots.,Target hit 39 times from 45 shots.,Target hit 38 times from 50 shots.,Target hit 50 times from 61 shots.
Eden,Yes,06-Apr-2022,Target hit 34 times from 35 shots.,Target hit 45 times from 48 shots.,Target hit 52 times from 58 shots.,Target hit 45 times from 47 shots.,Target hit 52 times from 53 shots.,Target hit 54 times from 58 shots.
Beau,Yes,02-Oct-2021,Target hit 61 times from 66 shots.,Target hit 54 times from 55 shots.,Target hit 68 times from 71 shots.,Target hit 51 times from 54 shots.,Target hit 51 times from 52 shots.,Target hit 53 times from 54 shots.
Hallie,Yes,10-Oct-2022,Target hit 40 times from 43 shots.,Target hit 58 times from 64 shots.,Target hit 42 times from 48 shots.,Target hit 52 times from 57 shots.,Target hit 51 times from 57 shots.,Target hit 70 times from 73 shots.
Mila,No,01-Feb-2024,Target hit 25 times from 49 shots.,Target hit 31 times from 54 shots.,Target hit 24 times from 48 shots.,Target hit 27 times from 48 shots.,Target hit 28 times from 41 shots.,Target hit 32 times from 49 shots.
Evie,No,01-Feb-2024,Target hit 14 times from 27 shots.,Target hit 24 times from 41 shots.,Target hit 14 times from 24 shots.,Target hit 17 times from 29 shots.,Target hit 23 times from 40 shots.,Target hit 21 times from 31 shots.
Olivia,No,01-Feb-2024,Target hit 28 times from 51 shots.,Target hit 16 times from 41 shots.,Target hit 25 times from 49 shots.,Target hit 25 times from 44 shots.,Target hit 21 times from 41 shots.,Target hit 16 times from 37 shots.
Daisy,No,01-Feb-2024,Target hit 19 times from 40 shots.,Target hit 19 times from 37 shots.,Target hit 19 times from 29 shots.,Target hit 25 times from 36 shots.,Target hit 26 times from 42 shots.,Target hit 23 times from 40 shots.
Edward,No,01-Feb-2024,Target hit 16 times from 48 shots.,Target hit 26 times from 42 shots.,Target hit 26 times from 39 shots.,Target hit 13 times from 25 shots.,Target hit 23 times from 48 shots.,Target hit 35 times from 45 shots.
Aaliyah,Yes,11-Feb-2022,Target hit 54 times from 57 shots.,Target hit 62 times from 68 shots.,Target hit 61 times from 62 shots.,Target hit 52 times from 54 shots.,Target hit 58 times from 67 shots.,Target hit 67 times from 71 shots.
Arthur,No,01-Feb-2024,Target hit 20 times from 35 shots.,Target hit 17 times from 33 shots.,Target hit 21 times from 36 shots.,Target hit 15 times from 33 shots.,Target hit 19 times from 40 shots.,Target hit 22 times from 32 shots.
Harrison,No,01-Feb-2024,Target hit 18 times from 34 shots.,Target hit 18 times from 37 shots.,Target hit 32 times from 50 shots.,Target hit 23 times from 38 shots.,Target hit 17 times from 32 shots.,Target hit 27 times from 43 shots.
Mia,No,01-Feb-2024,Target hit 31 times from 53 shots.,Target hit 26 times from 56 shots.,Target hit 25 times from 40 shots.,Target hit 22 times from 45 shots.,Target hit 29 times from 51 shots.,Target hit 33 times from 50 shots.
Grace,Yes,11-Jun-2022,Target hit 69 times from 75 shots.,Target hit 62 times from 68 shots.,Target hit 78 times from 86 shots.,Target hit 61 times from 65 shots.,Target hit 61 times from 65 shots.,Target hit 47 times from 52 shots.
Flynn,No,01-Feb-2024,Target hit 19 times from 42 shots.,Target hit 24 times from 47 shots.,Target hit 23 times from 50 shots.,Target hit 28 times from 42 shots.,Target hit 27 times from 49 shots.,Target hit 17 times from 37 shots.
Freya,Yes,05-Dec-2021,Target hit 55 times from 56 shots.,Target hit 47 times from 51 shots.,Target hit 59 times from 68 shots.,Target hit 51 times from 53 shots.,Target hit 50 times from 54 shots.,Target hit 60 times from 64 shots.
Georgia,Yes,07-Aug-2021,Target hit 69 times from 72 shots.,Target hit 54 times from 59 shots.,Target hit 63 times from 67 shots.,Target hit 65 times from 69 shots.,Target hit 47 times from 49 shots.,Target hit 66 times from 67 shots.
Harry,Yes,20-Aug-2022,Target hit 59 times from 64 shots.,Target hit 62 times from 64 shots.,Target hit 59 times from 64 shots.,Target hit 59 times from 67 shots.,Target hit 60 times from 65 shots.,Target hit 48 times from 54 shots.
Elodie,Yes,13-Dec-2022,Target hit 40 times from 46 shots.,Target hit 42 times from 48 shots.,Target hit 47 times from 53 shots.,Target hit 42 times from 53 shots.,Target hit 58 times from 67 shots.,Target hit 56 times from 64 shots.
Xavier,No,01-Feb-2024,Target hit 13 times from 30 shots.,Target hit 22 times from 45 shots.,Target hit 17 times from 35 shots.,Target hit 32 times from 51 shots.,Target hit 14 times from 32 shots.,Target hit 31 times from 51 shots.
Asher,No,01-Feb-2024,Target hit 27 times from 49 shots.,Target hit 23 times from 41 shots.,Target hit 27 times from 45 shots.,Target hit 27 times from 43 shots.,Target hit 27 times from 57 shots.,Target hit 21 times from 34 shots.
Ava,Yes,24-Dec-2021,Target hit 70 times from 73 shots.,Target hit 77 times from 81 shots.,Target hit 54 times from 56 shots.,Target hit 53 times from 57 shots.,Target hit 54 times from 58 shots.,Target hit 60 times from 67 shots.
Jordan,No,01-Feb-2024,Target hit 24 times from 48 shots.,Target hit 26 times from 55 shots.,Target hit 24 times from 46 shots.,Target hit 22 times from 45 shots.,Target hit 27 times from 51 shots.,Target hit 30 times from 61 shots.
Christian,No,01-Feb-2024,Target hit 23 times from 40 shots.,Target hit 18 times from 36 shots.,Target hit 19 times from 35 shots.,Target hit 27 times from 44 shots.,Target hit 30 times from 50 shots.,Target hit 20 times from 34 shots.
Ashton,Yes,22-Jan-2023,Target hit 39 times from 47 shots.,Target hit 52 times from 56 shots.,Target hit 45 times from 54 shots.,Target hit 55 times from 61 shots.,Target hit 48 times from 59 shots.,Target hit 50 times from 55 shots.
Elsie,No,01-Feb-2024,Target hit 20 times from 36 shots.,Target hit 22 times from 43 shots.,Target hit 23 times from 38 shots.,Target hit 23 times from 37 shots.,Target hit 18 times from 33 shots.,Target hit 27 times from 40 shots.
Jayden,Yes,06-Jan-2023,Target hit 50 times from 59 shots.,Target hit 66 times from 76 shots.,Target hit 59 times from 67 shots.,Target hit 50 times from 53 shots.,Target hit 62 times from 74 shots.,Target hit 61 times from 73 shots.
George,Yes,18-Nov-2022,Target hit 35 times from 43 shots.,Target hit 44 times from 48 shots.,Target hit 48 times from 53 shots.,Target hit 33 times from 38 shots.,Target hit 34 times from 36 shots.,Target hit 52 times from 61 shots.
Ruby,Yes,05-Sep-2021,Target hit 53 times from 59 shots.,Target hit 49 times from 52 shots.,Target hit 49 times from 51 shots.,Target hit 43 times from 47 shots.,Target hit 66 times from 72 shots.,Target hit 46 times from 48 shots.
Hunter,No,01-Feb-2024,Target hit 19 times from 34 shots.,Target hit 18 times from 33 shots.,Target hit 22 times from 33 shots.,Target hit 15 times from 25 shots.,Target hit 13 times from 30 shots.,Target hit 22 times from 34 shots.
Elena,No,01-Feb-2024,Target hit 19 times from 37 shots.,Target hit 17 times from 42 shots.,Target hit 16 times from 30 shots.,Target hit 22 times from 38 shots.,Target hit 23 times from 41 shots.,Target hit 22 times from 39 shots.
Hazel,Yes,21-Jul-2023,Target hit 34 times from 48 shots.,Target hit 47 times from 61 shots.,Target hit 40 times from 49 shots.,Target hit 40 times from 52 shots.,Target hit 48 times from 61 shots.,Target hit 51 times from 61 shots.
Eva,Yes,10-Nov-2022,Target hit 63 times from 69 shots.,Target hit 58 times from 68 shots.,Target hit 52 times from 60 shots.,Target hit 59 times from 65 shots.,Target hit 57 times from 65 shots.,Target hit 54 times from 61 shots.
Harvey,No,01-Feb-2024,Target hit 20 times from 44 shots.,Target hit 26 times from 50 shots.,Target hit 35 times from 65 shots.,Target hit 32 times from 51 shots.,Target hit 32 times from 53 shots.,Target hit 30 times from 48 shots.
Cooper,Yes,04-Jan-2023,Target hit 51 times from 61 shots.,Target hit 40 times from 50 shots.,Target hit 53 times from 59 shots.,Target hit 51 times from 57 shots.,Target hit 46 times from 52 shots.,Target hit 61 times from 68 shots.
